,0
0,3
1,1
2,1
3,1
4,1
5,1
6,1
7,4
8,1
9,1
10,4
11,1
12,1
13,1
14,1
15,1
16,4
17,1
18,4
19,4
20,4
21,2
22,5
23,5
24,2
25,4
26,4
27,1
28,1
29,1
30,1
31,1
32,1
33,3
34,3
35,3
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,4
44,1
45,1
46,4
47,1
48,4
49,1
50,4
51,1
52,1
53,3
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,3
66,4
67,4
68,1
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,1
77,1
78,1
79,1
80,5
81,4
82,4
83,4
84,4
85,3
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,1
94,1
95,1
96,1
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,5
107,2
108,3
109,3
110,4
111,1
112,1
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,5
130,4
131,1
132,4
133,4
134,4
135,1
136,1
137,4
138,4
139,4
140,4
141,1
142,4
143,1
144,1
145,4
146,4
147,1
148,4
149,4
150,5
151,5
152,5
153,4
154,4
155,4
156,1
157,4
158,1
159,4
160,1
161,4
162,4
163,1
164,4
165,4
166,4
167,4
168,1
169,4
170,3
171,1
172,1
173,1
174,1
175,1
176,5
177,4
178,4
179,1
180,4
181,4
182,4
183,1
184,1
185,2
186,4
187,4
188,1
189,5
190,2
191,2
192,5
193,4
194,5
195,5
196,1
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,3
211,1
212,1
213,1
214,1
215,4
216,4
217,4
218,4
219,4
220,4
221,5
222,5
223,2
224,4
225,5
226,1
227,1
228,1
229,1
230,4
231,2
232,3
233,4
234,4
235,2
236,2
237,1
238,1
239,3
240,1
241,1
242,1
243,5
244,1
245,1
246,4
247,1
248,1
249,4
250,4
251,4
252,4
253,2
254,5
255,2
256,3
257,4
258,4
259,4
260,4
261,1
262,4
263,3
264,1
265,4
266,4
267,4
268,1
269,1
270,1
271,1
272,1
273,4
274,4
275,1
276,1
277,1
278,1
279,5
280,3
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,4
290,4
291,2
292,4
293,3
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,3
302,1
303,1
304,1
305,3
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,5
318,4
319,1
320,5
321,3
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,3
335,1
336,1
337,1
338,1
339,4
340,4
341,4
342,4
343,4
344,1
345,4
346,1
347,3
348,4
349,1
350,1
351,4
352,1
353,2
354,2
355,3
356,1
357,4
358,5
359,1
360,2
361,2
362,1
363,1
364,4
365,4
366,1
367,1
368,1
369,4
370,4
371,1
372,4
373,4
374,4
375,3
376,1
377,1
378,4
379,1
380,1
381,1
382,3
383,4
384,4
385,1
386,1
387,1
388,1
389,1
390,1
391,4
392,4
393,1
394,1
395,1
396,4
397,4
398,1
399,1
400,4
401,4
402,4
403,1
404,1
405,4
406,4
407,4
408,4
409,4
410,1
411,1
412,1
413,4
414,1
415,4
416,1
417,4
418,4
419,1
420,1
421,4
422,4
423,4
424,1
425,4
426,1
427,1
428,1
429,4
430,2
431,1
432,1
433,1
434,1
435,1
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,4
444,4
445,2
446,5
447,2
448,2
449,4
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,4
460,1
461,1
462,4
463,1
464,1
465,1
466,4
467,1
468,1
469,4
470,4
471,1
472,1
473,1
474,4
475,1
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,1
484,4
485,1
486,1
487,4
488,4
489,4
490,1
491,1
492,1
493,1
494,4
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,1
510,1
511,4
512,1
513,4
514,4
515,1
516,1
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,4
533,4
534,4
535,4
536,4
537,1
538,4
539,4
540,4
541,1
542,2
543,4
544,2
545,3
546,1
547,4
548,1
549,1
550,1
551,3
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,3
565,1
566,3
567,1
568,1
569,3
570,1
571,1
572,4
573,4
574,4
575,1
576,3
577,1
578,1
579,1
580,1
581,1
582,4
583,4
584,4
585,1
586,1
587,1
588,1
589,3
590,3
591,4
592,4
593,3
594,3
595,1
596,4
597,1
598,4
599,4
600,1
601,1
602,1
603,3
604,1
605,3
606,1
607,1
608,5
609,5
610,1
611,5
612,5
613,4
614,4
615,3
616,5
617,5
618,2
619,5
620,4
621,1
622,3
623,1
624,4
625,1
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,1
635,1
636,4
637,1
638,3
639,1
640,4
641,4
642,4
643,1
644,1
645,3
646,4
647,4
648,3
649,4
650,4
651,4
652,1
653,4
654,4
655,4
656,4
657,4
658,4
659,2
660,1
661,1
662,1
663,4
664,4
665,4
666,4
667,2
668,1
669,1
670,4
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,3
687,1
688,4
689,4
690,1
691,4
692,4
693,4
694,4
695,1
696,4
697,4
698,3
699,4
700,4
701,1
702,4
703,1
704,1
705,1
706,3
707,4
708,1
709,4
710,4
711,4
712,4
713,1
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,1
722,4
723,4
724,1
725,4
726,4
727,1
728,1
729,1
730,3
731,2
732,2
733,2
734,1
735,1
736,4
737,4
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,5
750,1
751,4
752,4
753,4
754,4
755,4
756,1
757,4
758,4
759,1
760,1
761,1
762,1
763,4
764,4
765,1
766,1
767,4
768,4
769,4
770,1
771,1
772,4
773,3
774,1
775,1
776,4
777,4
778,4
779,4
780,4
781,4
782,3
783,4
784,1
785,3
786,3
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,1
795,4
796,4
797,4
798,4
799,4
800,3
801,4
802,4
803,2
804,3
805,2
806,3
807,1
808,1
809,3
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,3
819,3
820,1
821,5
822,5
823,1
824,1
825,1
826,3
827,1
828,3
829,4
830,1
831,1
832,1
833,1
834,4
835,1
836,1
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,4
846,1
847,1
848,1
849,1
850,3
851,3
852,3
853,1
854,1
855,1
856,4
857,4
858,3
859,1
860,4
861,1
862,1
863,4
864,1
865,3
866,3
867,1
868,1
869,5
870,5
871,3
872,5
873,4
874,4
875,4
876,4
877,4
878,4
879,4
880,4
881,4
882,1
883,4
884,4
885,4
886,4
887,1
888,1
889,2
890,1
891,2
892,5
893,1
894,1
895,4
896,1
897,1
898,1
899,1
900,4
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,1
919,4
920,4
921,2
922,4
923,4
924,4
925,4
926,4
927,4
928,1
929,4
930,4
931,1
932,1
933,4
934,1
935,4
936,1
937,4
938,4
939,4
940,1
941,4
942,1
943,4
944,1
945,1
946,1
947,4
948,4
949,1
950,1
951,4
952,4
953,4
954,2
955,4
956,1
957,4
958,1
959,4
960,4
961,1
962,1
963,1
964,1
965,4
966,4
967,4
968,4
969,4
970,4
971,4
972,3
973,3
974,4
975,4
976,4
977,4
978,4
979,2
980,2
981,3
982,3
983,1
984,3
985,1
986,1
987,1
988,1
989,4
990,3
991,3
992,3
993,1
994,1
995,1
996,1
997,1
998,1
999,3
1000,1
1001,4
1002,1
1003,3
1004,3
1005,3
1006,3
1007,1
1008,1
1009,1
1010,3
1011,3
1012,4
1013,1
1014,1
1015,4
1016,1
1017,3
1018,3
1019,4
1020,4
1021,5
1022,4
1023,4
1024,4
1025,4
1026,4
1027,4
1028,4
1029,4
1030,4
1031,1
1032,1
1033,4
1034,3
1035,2
1036,4
1037,1
1038,1
1039,1
1040,4
1041,4
1042,1
1043,1
1044,3
1045,4
1046,3
1047,3
1048,2
1049,3
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,3
1060,1
1061,4
1062,4
1063,3
1064,1
1065,3
1066,1
1067,2
1068,1
1069,3
1070,1
1071,3
1072,1
1073,3
1074,1
1075,3
1076,1
1077,3
1078,1
1079,3
1080,3
1081,1
1082,3
1083,3
1084,1
1085,4
1086,1
1087,3
1088,1
1089,4
