user,created_at,text
511NY,1/17/2020 16:37,Updated: Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center.
511NY,1/17/2020 16:35,Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center Statio
511NY,1/17/2020 16:35,Cleared: Incident on #I678 SB from Jackie Robinson Parkway to Exit 4 -  Liberty Aven
511nyACE,1/17/2020 16:35,Construction on #ELine Both directions from Jackson Hts-Roosevelt Avenue Station to World Trade Center Statio
511nyACE,1/17/2020 16:34,Updated: Construction on #CLine SB from 50th Street Station to Spring Street Statio
511NY,1/17/2020 16:34,Cleared: Construction on #SouthernStateParkway Both directions from Exit 40 - Robert Moses Causeway to Exit 41S - CR 
511NY,1/17/2020 16:34,Updated: Construction on #CLine SB from 50th Street Station to Spring Street Statio
511NY,1/17/2020 16:33,Construction on #US206 Both directions from North of CR 514/Amwell Rd to South of Brooks Blv
511NY,1/17/2020 16:33,Construction on #NJ17 Both directions at North of Glen A
511NY,1/17/2020 16:33,Updated: Construction on #182Bus at George Washington Brg. Bus Statio
511NY,1/17/2020 16:33,Cleared: Incident on #I278 EB from Exit 30 - Flushing Avenue to Exit 33 - Mcguinness Boulevard; Humboldt Stre
511NY,1/17/2020 16:32,Cleared: Incident on #MorristownLine at Dover Stati
511NY,1/17/2020 16:32,Cleared: Incident on #HarlemRiverDrive SB from Madison Avenue Bridge; Ramp to Franklin D. Roosevelt Drive; END ROUTE Harlem River Dri
511nyACE,1/17/2020 16:32,Construction on #CLine SB from 50th Street Station to Spring Street Statio
511NY,1/17/2020 16:32,Cleared: Incident on #BeltSystemSouthernParkway WB from Rockaway Boulevard to Lefferts Bouleva
511NY,1/17/2020 16:32,Construction on #CLine SB from 50th Street Station to Spring Street Statio
511NY,1/17/2020 16:31,Cleared: Construction on #NorthernStateParkway Both directions from Exit 25 - Lakeville Road; Marcus Avenue to Exit 31A - Meadowbrook.
511NY,1/17/2020 16:31,Cleared: Incident on #I678 NB from Rockaway Boulevard to Exit 8 - Main Stre
511NY,1/17/2020 16:31,Updated: Construction on #ALine SB at 50th Street Statio
511NY,1/17/2020 16:31,Updated: Construction on #ALine Both directions from Lefferts Boulevard-Ozone Park Station to Euclid Avenue Statio
511nyACE,1/17/2020 16:31,Construction on #ALine SB at 50th Street Statio
511NY,1/17/2020 16:31,Cleared: Construction on #NY129 Both directions from Old Post Road to Grand Stre
511nyACE,1/17/2020 16:31,Updated: Construction on #ALine Both directions from Lefferts Boulevard-Ozone Park Station to Euclid Avenue Statio
511NY,1/17/2020 16:31,Cleared: Incident on #I495 WB from Exit 72 - NY 25; West Main St; to Exit 71 - Edwards Avenue; NY 24; Hampton Bays Ro
