time,user,text
1/29/2020 4:07,511NY,Incident on #RonkonkomaBranch EB at New York Penn Station
1/29/2020 4:07,511NY,Construction on #HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube
1/29/2020 4:07,511NY,Closure on #GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level
1/29/2020 4:06,511NY,Cleared: Incident on #NY22A Both directions at CR 20
1/29/2020 4:04,511NY,Incident on #5Line from 42nd Street-Grand Central Station to 125th Street Station
1/29/2020 4:04,511NY,Incident on #4Line BothDir/BothDir from 42nd Street-Grand Central Station to 125th Street Station
1/29/2020 4:02,511NYC,Construction on #I278 WB at Queens-Kings County Line; Koskuisko Bridge
1/29/2020 4:02,511NYC,Incident on #I678 SB at Exit 5 - 101st Avenue
1/29/2020 4:02,511NY,Cleared: Construction on #PortJersey
1/29/2020 4:01,511NY,Updated: Special Event on #RadioCityMusicHall
1/29/2020 4:01,511NY,Updated: Construction on #PortJersey
1/29/2020 3:58,511nyLongIsland,Construction on #LongBeachBranch WB from Long Beach Station to New York Penn Station
1/29/2020 3:58,511NY,Cleared: Special Event on #RadioCityMusicHall
1/29/2020 3:58,511NY,Construction on #LongBeachBranch WB from Long Beach Station to New York Penn Station
1/29/2020 3:53,511NY,Incident on #GladstoneBranch WB at Far Hills/Bedminster Station
1/29/2020 3:52,511NY,Construction on #NewJerseyTurnpike SB from South of Interchange 6 - Pennsylvania Turnpike to Inner and
1/29/2020 3:52,511NY,Cleared: Incident on #NewJerseyTurnpike at Interchange 13 - I-278/Goethals Bridge
1/29/2020 3:50,511NYC,Updated: Closure on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level
1/29/2020 3:46,511NYC,Incident on #I278 WB at Wythe Avenue
1/29/2020 3:45,511NY,Updated: Incident on #ValleyLine at Bound Brook Station
1/29/2020 3:45,511NY,Construction on #ThrogsNeckBridge SB at Queens Bound
1/29/2020 3:45,511NY,Updated: Incident on #RaritanLine at Bound Brook Station
1/29/2020 3:43,511NY,Construction on #I678 SB at Linden Place; I-678
1/29/2020 3:43,511NYC,Construction on #I678 SB at Linden Place; I-678
1/29/2020 3:42,511NY,Construction on #GardenStateParkway SB from Exit 117 - NJ 36 to South of Exit 117 - NJ 36
1/29/2020 3:42,511NYC,Closure on #BatteryParkUnderpass Both directions from FDR Drive to NY 9A/West Street
1/29/2020 3:40,511nyG,Updated: Incident on #GLine at Carroll Street Station
1/29/2020 3:40,511nyBDFV,Updated: Incident on #FLine NB at Carroll Street Station
1/29/2020 3:40,511NY,Incident on #GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza
1/29/2020 3:40,511NY,Updated: Incident on #GLine at Carroll Street Station
1/29/2020 3:40,511NYC,Updated: Incident on #FLine NB at Carroll Street Station
1/29/2020 3:39,511NY,Construction on #I91S SB at Exit 8 (RTE 17)
1/29/2020 3:39,511NY,Cleared: Incident on #S8N NB at 0.59 miles beyond Exit 2 (LAFAYETTE SQ)
1/29/2020 3:39,511NY,Construction on #NJ35 SB at 6th Av
1/29/2020 3:39,511nyLongIsland,Incident on #BabylonBranch EB at Babylon Station
1/29/2020 3:39,511NY,Incident on #BabylonBranch EB at Babylon Station
1/29/2020 3:37,511NY,Updated: Incident on #WassaicBranch Both directions from Harlem Valley-Wingdale Station to Hawthorne
1/29/2020 3:37,511NY,Construction on #US206 Both directions at I-195
1/29/2020 3:37,511NYMidHudson,Updated: Incident on #WassaicBranch Both directions from Harlem Valley-Wingdale Station to Hawthorne
1/29/2020 3:36,511NY,Construction on #US130 NB at South of CR 543/Beverly Rd
