,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
0,Closure on QueensboroBridge EB at Queens Bound,,,Closure on QueensboroBridge EB at Queens Bound,Closure on QueensboroBridge EB at Queens Bound,QueensboroBridge EB at Queens Bound,
1,Construction,,from East of Newark Bay Bridge to East of Interchange,East of Newark Bay Bridge to East of Interchange,East of Newark Bay Bridge to East of Interchange,,
2,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
3,Construction,,NewJerseyTurnpikeHudsonCountyExtension WB,Newark Bay Bridge,Newark Bay Bridge,,
4,Construction,,RFKTriboroughBridge SB at Bronx Span,,Bronx,,
5,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
6,Construction on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
7,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
8,Construction on HenryHudsonBridge SB,,Manhattan Bound,Manhattan Bound,Manhattan Bound,,
9,Construction,,from Park Avenue to Queens Blvd,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd,,
10,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
11,Construction,,from Park Avenue to Queens Blvd,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd,,
12,Construction,,RFKTriboroughBridge SB at Bronx Span,,Bronx,,
13,Construction on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway,,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
14,Construction on HenryHudsonBridge SB,,Manhattan Bound,Manhattan Bound,Manhattan Bound,,
15,Construction on LoopParkway,,LoopParkway Both directions from START ROUTE Loop Parkway at Lido Boulevard to Meadowbrook State Parkway,,START ROUTE Loop Parkway at Lido Boulevard to Meadowbrook State Parkway,,Cleared
16,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB at New York Side/Lower Level,,Cleared
17,Construction on BetsyRossBridge WB at Mid-Span,,BetsyRossBridge WB,,,,Cleared
18,Incident on LincolnTunnel EB at from New Jersey,,,LincolnTunnel EB at from New Jersey,LincolnTunnel EB at from New Jersey,,Cleared
19,Incident on PulaskiSkyway NB at Tonnelle Circle,,,PulaskiSkyway NB at Tonnelle Circle,PulaskiSkyway NB at Tonnelle Circle,,Cleared
20,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
21,Special Event on VerrazanonarrowsBridge WB,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,Cleared
22,Special Event on MadisonSquareGarden,,,at the Arena,at the Arena,,
23,,,,,BarclaysCenter,,
24,Special Event on BrooklynBatteryTunnel SB at Brooklyn Bound,,,Brooklyn Bound,Brooklyn Bound,,Cleared
25,Cleared: Incident on HollandTunnel WB,,,HollandTunnel WB,HollandTunnel WB,,Cleared
26,Incident on TaconicStateParkway SB at Jackson Corners Road,,,TaconicStateParkway SB at Jackson Corners Road,TaconicStateParkway SB at Jackson Corners Road,,Cleared
27,Construction on OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,Cleared
28,Construction on QueensboroBridge EB,,QueensboroBridge EB,Manhattan/Queens,Manhattan/Queens Bound,,
