time,user,text
2/4/2020 2:54,511NY,Closure on QueensboroBridge EB at Queens Bound
2/4/2020 2:54,511NYMidHudson,Construction on NewJerseyTurnpikeHudsonCountyExtension WB from East of Newark Bay Bridge to East of Interchange...
2/4/2020 2:54,511NY,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway
2/4/2020 2:54,511NY,Construction on NewJerseyTurnpikeHudsonCountyExtension WB from East of Newark Bay Bridge to East of
2/4/2020 2:54,511nyLongIsland,Construction on RFKTriboroughBridge SB at Bronx Span 
2/4/2020 2:54,511NY,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway 
2/4/2020 2:54,511NY,Construction on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway
2/4/2020 2:54,511NY,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level
2/4/2020 2:54,511NY,Construction on HenryHudsonBridge SB at Manhattan Bound 
2/4/2020 2:54,511NY,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd 
2/4/2020 2:54,511NY,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level 
2/4/2020 2:54,511NY,Construction on UnionTurnpike WB from Park Avenue to Queens Blvd
2/4/2020 2:54,511NY,Construction on RFKTriboroughBridge SB at Bronx Span
2/4/2020 2:54,511NY,Construction on GeorgeWashingtonBridge WB at Upper Trans Manhattan Expressway 
2/4/2020 2:54,511NY,Construction on HenryHudsonBridge SB at Manhattan Bound
2/4/2020 1:24,511NY,Cleared: Construction on LoopParkway Both directions from START ROUTE Loop Parkway at Lido Boulevard to Meadowbrook State Parkway
2/4/2020 1:23,511NY,Cleared: Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level
2/4/2020 1:23,511NYC,Cleared: Construction on BetsyRossBridge WB at Mid-Span
2/4/2020 1:23,511NYC,Cleared: Incident on LincolnTunnel EB at from New Jersey.
2/4/2020 1:23,511nyLongIsland,Cleared: Incident on PulaskiSkyway NB at Tonnelle Circle
